900,-31.7104,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,15.554713249206543,8050297
1800,-3.1173,30,30,35,36,30,30,15,60,11.931471824645996,8050297
900,-293.5052,10.0,30.0,10.0,37.0,10.0,30.0,14.0,33.0,27.97357177734375,8050322
900,-258.1616,10.0,30.0,10.0,37.0,10.0,30.0,14.0,33.0,27.274356842041016,8050322
2700,-79.8184,30,30,26,15,11,30,15,39,21.831933975219727,8050297
900,-31.7104,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,15.554713249206543,8050297
900,-341.3542,10.0,30.0,10.0,37.0,10.0,30.0,14.0,33.0,27.97357177734375,8050322
1800,-196.9715,30,30,39,44,30,22,48,23,25.678688049316406,8050322
900,-31.7104,16.0,30.0,16.0,30.0,16.0,30.0,16.0,30.0,15.554713249206543,8050297
1800,-0.2082,30,21,26,45,6,21,49,52,15.554713249206543,8050297
900,-724.8966,10.0,21.0,10.0,31.0,10.0,21.0,14.0,27.0,25.231027603149414,8050315
3600,-62.6140,30,30,16,43,30,30,50,15,21.004350662231445,8050297
1800,-0.4680,7,25,62,49,6,30,42,57,15.554713249206543,8050297
1800,-432.5544,6,28,61,34,30,30,56,66,25.75308609008789,8050322
900,-552.0770,10.0,21.0,10.0,31.0,10.0,21.0,14.0,27.0,30.05060577392578,8050315
1800,-79.8984,14,6,15,44,30,9,54,42,25.3143253326416,8050322
4500,-10.8555,30,30,58,22,29,16,56,42,26.74082374572754,8050297
1800,-65.2002,30,24,59,68,30,28,25,22,29.028589248657227,8050315
2700,-78.6349,30,30,15,67,17,30,18,19,21.831933975219727,8050297
2700,-236.1292,30,8,62,26,30,30,57,24,26.40852165222168,8050322
2700,-54.9120,30,30,31,69,5,30,56,67,11.931471824645996,8050297
3600,-47.6937,30,30,15,15,30,30,15,63,21.004350662231445,8050297
4500,-35.8790,30,25,15,52,17,30,15,27,21.004350662231445,8050297
2700,-203.7452,30,30,54,15,30,9,53,50,27.008914947509766,8050322
5400,-20.1256,30,30,50,15,30,17,23,23,26.74082374572754,8050297
1800,-143.1594,30,17,27,32,27,26,51,40,29.028589248657227,8050315
3600,-40.9346,30,21,15,30,8,30,21,41,21.004350662231445,8050297
2700,-448.9722,30,30,54,63,30,25,41,47,27.53274917602539,8050315
2700,-616.4316,5,30,46,37,30,30,43,65,27.008914947509766,8050322
6300,-682.5049,7,24,41,15,30,30,60,57,26.784704208374023,8050297
3600,-247.4783,30,30,26,45,30,30,30,23,24.915809631347656,8050322
3600,-28.2222,6,17,15,63,7,30,42,64,23.188581466674805,8050322
2700,-48.5289,30,15,51,44,15,30,63,41,29.028589248657227,8050315
4500,-22.2900,30,21,15,15,23,30,16,15,26.74082374572754,8050297
3600,-8.7345,10,30,56,15,18,30,64,67,27.14996337890625,8050315
3600,-49.3638,30,30,62,22,11,18,36,63,23.188581466674805,8050322
5400,-292.7751,26,30,55,15,18,16,53,17,26.784704208374023,8050297
6300,-5.9458,28,26,55,15,30,30,63,65,26.784704208374023,8050297
4500,-138.7231,30,30,15,16,30,30,15,41,26.114620208740234,8050322
4500,-207.5957,30,10,61,16,30,6,51,42,27.58633041381836,8050322
5400,-1498.4828,30,19,17,36,14,29,54,53,26.784704208374023,8050297
3600,-170.5998,7,30,24,68,6,25,31,24,27.53274917602539,8050315
4500,-68.6556,30,11,51,56,11,30,31,24,24.964719772338867,8050315
7200,-836.0301,30,11,15,28,10,30,51,23,39.45261001586914,8050297
4500,-88.2235,5,29,62,37,30,22,43,69,27.58633041381836,8050322
5400,-421.0887,30,30,22,69,30,18,34,34,24.964719772338867,8050315
5400,-1692.6542,30,30,15,15,30,30,30,68,23.08022117614746,8050322
