	Avg Approach Delay - Replication 8050297 - All (sec)
05:15:00	12.61
05:30:00	15.61
05:45:00	12.31
06:00:00	13.17
06:15:00	20.16
06:30:00	24.56
06:45:00	19.71
07:00:00	20.30
07:15:00	35.02
07:30:00	49.63
07:45:00	42.31
08:00:00	43.96
08:15:00	43.43
08:30:00	52.44
08:45:00	42.97
09:00:00	37.12
09:15:00	39.10
09:30:00	44.47
09:45:00	40.76
10:00:00	38.46
10:15:00	34.38
10:30:00	35.56
10:45:00	22.30
11:00:00	25.06

