time,reward,1,2,3,4,5,6,7,8,delay,replication
26100,0,30,30,62,34,14,30,42,35,0,8050315
25200,0,30,30,62,34,14,30,42,35,0,8050315
27000,0,30,30,62,34,14,30,42,35,0,8050315
13500,-326.3507,30,30,62,34,14,30,42,35,26.2508277893066,8050315
26100,0,30,5,62,34,14,30,42,35,0,8050315
27000,0,30,30,62,34,14,30,42,35,0,8050315
14400,-17.0464,30,30,62,34,14,30,42,35,31.8870677947998,8050315
7200,-85.0098,30,30,58,34,14,30,42,35,23.8177375793457,8050315
27900,0,30,30,62,34,14,30,42,35,0,8050315
15300,-707.7508,30,30,62,34,14,30,42,35,0,8050315
28800,0,30,30,62,15,14,30,42,35,0,8050315
16200,-3913.8482,30,30,62,34,14,30,42,35,0,8050315
29700,0,30,30,62,34,14,30,42,35,0,8050315
17100,0,30,30,62,34,14,30,42,35,0,8050315
30600,0,30,30,62,34,14,30,42,35,0,8050315
8100,-60.4382,30,30,62,34,14,30,42,35,23.8177375793457,8050315
31500,0,30,30,62,34,14,30,42,35,0,8050315
18000,0,30,30,62,34,14,30,42,35,0,8050315
32400,0,30,30,62,34,14,30,42,35,0,8050315
33300,0,30,30,62,15,14,30,42,35,0,8050315
18900,0,30,30,62,34,14,30,42,35,0,8050315
9000,-84.1336,30,30,62,34,14,30,42,35,26.708475112915,8050315
34200,0,30,30,62,15,14,30,42,35,0,8050315
19800,0,30,30,62,34,14,30,42,35,0,8050315
35100,0,30,30,62,34,14,30,42,35,0,8050315
20700,0,30,30,62,34,14,30,42,35,0,8050315
36000,0,30,30,62,34,14,30,42,35,0,8050315
21600,0,30,30,62,34,14,30,42,35,0,8050315
36900,0,30,30,62,34,14,30,42,35,0,8050315
22500,0,30,30,62,34,14,30,42,35,0,8050315
37800,0,30,30,62,34,14,30,42,35,0,8050315
9900,-322.7734,30,30,62,34,30,30,36,33,24.8070945739746,8050315
23400,0,30,30,62,34,14,30,42,35,0,8050315
38700,0,30,30,62,36,14,30,42,35,0,8050315
24300,0,30,30,62,34,14,30,42,35,0,8050315
39600,0,30,30,62,34,14,30,42,35,0,8050315
25200,0,30,30,62,22,14,30,42,35,0,8050315
26100,0,30,30,62,34,14,30,42,35,0,8050315
27000,0,30,30,62,34,14,30,42,35,0,8050315
27900,0,30,30,62,34,14,30,42,35,0,8050315
10800,-47.0628,30,30,62,34,14,30,42,35,29.3657894134521,8050315
28800,0,30,30,62,34,14,30,42,35,0,8050315
29700,0,30,30,62,34,14,30,42,35,0,8050315
30600,0,30,30,62,34,14,30,42,35,0,8050315
11700,-53.3426,30,30,62,34,14,30,42,35,25.6479835510254,8050315
12600,-76.2051,30,30,62,34,14,30,42,35,30.3652439117432,8050315
13500,-12.8191,30,30,62,34,14,30,42,35,24.1781463623047,8050315
14400,-35.644,30,30,62,34,14,30,42,35,26.9870452880859,8050315
15300,-749.5317,30,30,58,34,14,30,36,33,0,8050315
16200,-3113.7841,30,30,62,34,14,30,42,35,0,8050315
17100,0,30,30,62,34,14,30,42,35,0,8050315
18000,0,30,30,62,34,14,30,42,35,0,8050315
900,-341.521,10,21,10,31,10,21,14,27,36.2549324035645,8050315
1800,-17.4753,7,30,26,15,30,30,42,35,36.2549324035645,8050315
2700,-190.872,7,30,26,15,30,30,42,35,27.7514400482178,8050315
900,-235.2004,10,21,10,31,10,21,14,27,23.5652236938477,8050315
1800,-5.1033,30,30,26,34,14,30,42,35,27.9902362823486,8050315
3600,-338.4376,7,30,26,34,14,30,42,35,27.6966152191162,8050315
4500,-147.5436,7,30,26,15,30,30,42,35,27.6966152191162,8050315
2700,-436.2999,7,30,26,15,30,30,42,35,23.9709911346436,8050315
900,-221.0327,10,21,10,31,10,21,14,27,24.4528045654297,8050315
5400,-35.5451,30,30,62,34,14,30,42,35,26.3167591094971,8050315
3600,-92.195,7,30,26,15,30,30,42,35,26.4125461578369,8050315
4500,-106.5655,7,30,26,15,30,30,42,35,26.4125461578369,8050315
1800,-488.9879,7,30,26,15,30,30,42,35,26.3213939666748,8050315
2700,-39.7874,7,30,26,15,30,30,42,35,26.3213939666748,8050315
6300,-244.7316,30,30,62,34,14,30,42,35,23.1498870849609,8050315
7200,-21.2616,30,30,62,34,14,30,42,35,23.1498870849609,8050315
900,-711.5878,10,21,10,31,10,21,14,27,23.763011932373,8050315
5400,-173.1791,30,30,62,34,14,30,42,35,24.2923851013184,8050315
3600,-601.8644,7,30,26,15,30,30,42,35,27.2696590423584,8050315
1800,-125.5207,7,30,26,15,30,30,42,35,24.9937133789062,8050315
6300,-173.351,30,30,62,34,14,30,42,35,25.1101016998291,8050315
8100,-310.5937,30,30,62,34,14,30,42,35,23.5460777282715,8050315
4500,-151.0665,30,30,62,34,14,30,42,35,27.2696590423584,8050315
2700,-20.0499,7,30,26,15,30,30,42,35,24.9937133789062,8050315
7200,-234.636,30,30,62,34,14,30,42,35,23.4894905090332,8050315
9000,-84.0188,30,30,62,34,14,30,42,35,26.5531673431396,8050315
5400,-389.7394,30,30,62,34,14,30,42,35,20.573450088501,8050315
9900,-40.6342,30,30,62,34,14,30,42,35,26.5531673431396,8050315
3600,-255.4329,7,30,26,15,30,30,42,35,23.7230987548828,8050315
8100,-74.2834,30,30,62,34,14,30,42,35,24.092004776001,8050315
9000,-9.3193,30,30,62,34,14,30,42,35,24.092004776001,8050315
6300,-75.5925,30,30,62,34,14,30,42,35,31.0609169006348,8050315
4500,-16.9565,30,30,62,34,14,30,42,35,26.6174640655518,8050315
10800,-119.6519,30,30,62,34,14,30,42,35,27.6353816986084,8050315
7200,-70.9014,30,30,62,34,14,30,42,35,25.9111518859863,8050315
11700,-346.6824,30,30,58,34,30,30,36,35,26.7226257324219,8050315
5400,-257.2195,30,30,62,34,14,30,42,35,22.7980556488037,8050315
9900,-315.2999,30,30,62,34,14,30,42,35,26.0057144165039,8050315
8100,-196.3681,30,30,62,34,14,30,42,33,26.4273357391357,8050315
6300,-128.1758,30,30,62,34,14,30,42,35,26.8246765136719,8050315
12600,-128.2168,30,30,62,34,14,30,42,35,23.9914283752441,8050315
10800,-83.9839,30,30,62,34,14,30,42,35,26.4867210388184,8050315
9000,-69.5205,30,30,62,34,14,30,42,35,26.4273357391357,8050315
11700,-3.6837,30,30,62,34,14,30,42,35,26.4867210388184,8050315
7200,-47.4435,30,30,62,34,14,30,42,35,27.0392074584961,8050315
13500,-284.7679,30,30,62,34,14,30,42,35,25.9559516906738,8050315
