Wall time,Step,Value
1619361390.0875602,1600,-394.5580749511719
1619362916.666916,3200,-391.2787170410156
1619364445.8860772,4800,-391.2787170410156
1619366069.5250435,6400,-391.2787170410156
1619367774.3749657,8000,-390.1235046386719
1619369462.852102,9600,-390.1235046386719
1619371076.0606196,11200,-390.1235046386719
1619374044.5570395,12800,-387.54034423828125
1619375707.029136,14400,-387.54034423828125
1619377327.5525901,16000,-387.54034423828125
1619378891.794134,17600,-390.84942626953125
1619380556.9023798,19200,-391.76104736328125
1619382226.274641,20800,-391.244140625
1619383870.4555342,22400,-391.244140625
1619385522.685098,24000,-391.244140625
1619387290.5910418,25600,-392.17413330078125
1619389005.427576,27200,-392.17413330078125
1619391859.314871,28800,-392.17413330078125
1619393570.6800556,30400,-392.17413330078125
1619396056.8973248,32000,-393.4804382324219
1619397631.1943898,33600,-393.4804382324219
1619399207.351912,35200,-392.7889709472656
1619400805.6647449,36800,-391.55316162109375
1619402510.6404827,38400,-391.55316162109375
1619404083.5810552,40000,-391.55316162109375
1619405688.8781767,41600,-392.2889709472656
1619407412.7239482,43200,-394.06951904296875
1619409116.1879892,44800,-389.4046936035156
1619410759.3459828,46400,-389.4046936035156
1619412431.296141,48000,-389.4046936035156
1619414138.5509393,49600,-392.20477294921875
1619415842.0159333,51200,-392.20477294921875
1619417505.3897872,52800,-392.20477294921875
1619419117.3912437,54400,-391.1054992675781
1619420873.906957,56000,-391.1054992675781
1619423703.269879,57600,-391.1054992675781
1619425341.3494256,59200,-393.7536315917969
1619426985.0455825,60800,-393.7536315917969
1619428746.732036,62400,-389.84423828125
1619430423.8496945,64000,-389.84423828125
1619432080.225911,65600,-391.4715270996094
1619433713.3219614,67200,-391.4715270996094
1619435527.547207,68800,-393.40234375
1619437275.282122,70400,-393.40234375
