12600 	 -2776.1457 	 1 	 8050322 	 30 	 8 	 15 	 20 	 30 	 30 	 65 	 35 	 178 [] 	 36.008392333984375
13500 	 -2717.7260 	 1 	 8050322 	 11 	 5 	 15 	 69 	 17 	 30 	 39 	 61 	 165 [] 	 38.61943817138672
14400 	 -3342.3356 	 1 	 8050322 	 17 	 30 	 44 	 35 	 30 	 30 	 58 	 61 	 197 [] 	 37.43454360961914
15300 	 -3881.9093 	 2 	 8050322 	 30 	 30 	 65 	 15 	 14 	 30 	 69 	 59 	 190 [] 	 34.7731819152832
16200 	 -5205.8933 	 2 	 8050322 	 30 	 30 	 53 	 18 	 30 	 30 	 69 	 46 	 193 [] 	 38.21064376
17100 	 -5496.4289 	 2 	 8050322 	 30 	 29 	 45 	 41 	 19 	 30 	 25 	 15 	 107 [] 	 38.21064376831055
18000 	 -6062.6071 	 3 	 8050322 	 30 	 30 	 54 	 53 	 30 	 30 	 15 	 45 	 138 [] 	 31.963333129882812
18900 	 -5315.6713 	 3 	 8050322 	 30 	 30 	 63 	 36 	 12 	 30 	 61 	 65 	 186 [] 	 27.221506118774414
19800 	 -7676.8193 	 3 	 8050322 	 17 	 9 	 15 	 20 	 30 	 5 	 15 	 42 	 110 [] 	 23.02004051208496
20700 	 -8451.4503 	 3 	 8050322 	 30 	 30 	 44 	 45 	 30 	 25 	 43 	 22 	 138 [] 	 23.02004051208496
21600 	 -6896.1280 	 3 	 8050322 	 30 	 30 	 36 	 26 	 30 	 30 	 43 	 50 	 171 [] 	 23.97959327697754
22500 	 -7312.1413 	 3 	 8050322 	 17 	 25 	 35 	 44 	 5 	 5 	 20 	 15 	 63 [] 	 23.97959327697754
23400 	 -7828.3977 	 4 	 8050322 	 8 	 16 	 29 	 36 	 30 	 5 	 48 	 43 	 144 [] 	 19.771347045898438
24300 	 -6168.8689 	 4 	 8050322 	 17 	 30 	 30 	 40 	 11 	 20 	 15 	 57 	 121 [] 	 19.771347045898438
900 	 -11.4044 	 0 	 8050322 	 10.0 	 30.0 	 10.0 	 37.0 	 10.0 	 30.0 	 14.0 	 33.0 	 105.0 [] 	 26.91264533996582
1800 	 -42.8937 	 0 	 8050322 	 30 	 18 	 15 	 44 	 12 	 30 	 67 	 59 	 186 [] 	 32.713294982910156
2700 	 -163.1212 	 0 	 8050322 	 5 	 30 	 63 	 15 	 5 	 30 	 15 	 15 	 83 [] 	 27.770172119140625
3600 	 -156.9148 	 0 	 8050322 	 15 	 6 	 38 	 50 	 7 	 30 	 15 	 46 	 116 [] 	 24.293867111206055
4500 	 -240.0899 	 0 	 8050322 	 30 	 5 	 50 	 39 	 5 	 30 	 36 	 22 	 111 [] 	 26.630495071411133
5400 	 -316.0100 	 0 	 8050322 	 11 	 30 	 45 	 46 	 30 	 30 	 58 	 43 	 179 [] 	 20.513202667236328
6300 	 -368.5610 	 0 	 8050322 	 7 	 19 	 42 	 33 	 14 	 30 	 45 	 45 	 152 [] 	 26.82318687438965
7200 	 -498.2844 	 1 	 8050322 	 18 	 27 	 21 	 60 	 23 	 30 	 37 	 41 	 149 [] 	 26.547809600830078
8100 	 -893.1338 	 1 	 8050322 	 5 	 30 	 15 	 63 	 30 	 12 	 27 	 67 	 154 [] 	 33.6555290222168
9000 	 -997.0702 	 1 	 8050322 	 30 	 30 	 15 	 59 	 30 	 30 	 20 	 30 	 128 [] 	 33.6555290222168
9900 	 -1330.5829 	 1 	 8050322 	 30 	 30 	 15 	 53 	 30 	 23 	 59 	 36 	 166 [] 	 33.215396881103516
10800 	 -1598.7406 	 1 	 8050322 	 30 	 5 	 54 	 34 	 12 	 30 	 48 	 61 	 169 [] 	 35.42860412597656
11700 	 -1631.4944 	 1 	 8050322 	 19 	 30 	 38 	 53 	 10 	 21 	 15 	 48 	 112 [] 	 35.42860412597656
